Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
0;81,2;47,6;20,4;2,104;142,43;38,75;1521;7,5;0,00;0,00;0,14;3,36;1,13;0,59;0,00;0;20,33
78;81,2;47,6;20,4;2,120;144,80;39,75;1534;7,5;0,00;0,00;0,14;2,95;1,13;0,55;0,00;0;20,33
160;81,2;47,6;20,4;2,019;138,02;37,75;1529;7,5;0,00;0,00;0,14;2,55;1,13;0,57;0,00;0;20,33
239;81,2;47,6;20,0;2,253;154,98;42,75;1541;7,5;0,00;0,00;0,14;2,15;1,13;0,55;0,00;0;20,33
320;81,2;47,6;20,8;1,997;137,26;37,75;1538;7,5;0,00;0,00;0,14;1,74;1,13;0,53;0,00;0;20,33
399;81,2;47,6;20,0;2,227;154,47;42,75;1546;7,5;0,00;0,00;0,14;1,32;1,11;0,53;0,00;0;20,33
480;81,2;47,6;21,2;1,922;133,44;36,75;1540;7,5;0,00;0,00;0,14;0,92;1,11;0,55;0,00;0;20,33
560;81,2;47,6;20,8;2,045;142,85;39,75;1555;7,5;0,00;0,00;0,14;0,52;1,15;0,55;0,00;0;20,33
638;81,2;47,6;20,8;2,040;143,36;39,75;1550;7,5;0,00;0,00;0,14;0,11;1,13;0,53;0,00;0;20,33
720;81,2;47,6;21,2;1,880;131,66;36,75;1561;7,5;0,00;0,00;0,14;-0,29;1,09;0,57;0,00;0;20,33
800;81,2;47,6;20,8;2,216;157,10;43,75;1556;7,5;0,00;0,00;0,14;-0,69;1,17;0,59;0,00;0;20,33
878;81,2;47,6;21,2;2,035;144,30;40,75;1578;7,5;0,00;0,00;0,14;-1,09;1,11;0,66;0,00;0;20,33
958;81,2;47,6;20,4;2,189;156,16;43,75;1565;7,5;0,00;0,00;0,14;-1,50;1,13;0,90;0,00;0;20,33
1039;81,2;47,6;21,5;1,912;136,58;38,75;1586;7,5;0,00;0,00;0,14;-1,90;1,13;1,00;0,00;0;20,33
1118;81,2;47,6;21,2;1,874;134,55;37,75;1569;7,5;0,00;0,00;0,14;-2,30;1,15;0,86;0,00;0;20,33
1200;81,2;47,6;20,8;1,938;139,63;39,75;1591;7,5;0,00;0,00;0,14;-2,71;1,15;0,76;0,00;0;20,33
1280;81,2;47,6;21,2;1,906;137,68;38,75;1573;7,5;0,00;0,00;0,14;-3,11;1,09;1,23;0,00;0;20,33
1359;81,2;47,6;21,2;1,864;135,65;38,75;1597;7,5;0,00;0,00;0,14;-3,51;1,17;1,64;0,00;0;20,33
1439;81,2;47,6;21,2;1,874;136,83;38,75;1583;7,5;0,00;0,00;0,14;-3,91;1,15;0,78;0,00;0;20,33
1519;81,2;47,6;21,5;1,981;145,31;41,75;1605;7,5;0,00;0,00;0,14;-4,34;1,13;1,39;0,00;0;20,33
1598;81,2;47,6;21,2;2,061;146,84;41,75;1589;7,5;0,00;0,00;0,14;-1,23;1,19;3,18;0,00;0;20,33
1680;81,2;47,6;21,9;1,896;133,87;38,75;1618;7,5;0,00;0,00;0,14;-0,80;1,09;3,96;0,00;0;20,33
1759;81,2;47,6;21,5;1,981;139,21;39,75;1596;7,5;0,00;0,00;0,14;-0,38;1,13;4,26;0,00;0;20,33
1838;81,2;47,6;21,9;1,997;140,31;40,75;1623;7,5;0,00;0,00;0,14;0,05;1,17;4,39;0,00;0;20,33
1920;81,2;46,9;21,2;2,024;141,33;40,75;1611;7,5;0,00;0,00;0,14;0,49;1,13;4,45;0,00;0;20,33
1999;81,2;46,9;22,3;1,922;133,78;38,75;1619;7,5;0,00;0,00;0,14;0,93;1,13;4,53;0,00;0;20,33
2080;81,2;46,9;21,9;1,992;137,77;39,75;1613;7,5;0,00;0,00;0,14;1,37;1,09;4,53;0,00;0;20,33
2159;81,2;46,9;22,3;1,896;133,10;38,75;1627;7,5;0,00;0,00;0,14;-0,35;1,11;0,98;0,00;0;20,33
2239;81,2;46,9;21,9;2,067;146,58;42,75;1629;7,5;0,00;0,00;0,14;-0,79;1,17;0,70;0,00;0;20,33
2319;81,2;46,9;22,3;1,784;126,24;36,75;1628;7,5;0,00;0,00;0,14;-1,23;1,13;0,74;0,00;0;20,33
2401;81,2;46,9;22,3;1,853;132,26;38,75;1638;7,5;0,00;0,00;0,14;-1,67;1,17;0,86;0,00;0;20,33
2480;81,2;46,9;22,7;1,810;129,29;37,75;1633;7,5;0,00;0,00;0,14;-2,11;1,11;1,03;0,00;0;20,33
2560;81,2;46,9;21,9;1,938;134,88;39,75;1647;7,5;0,00;0,00;0,14;0,76;1,13;2,77;0,00;0;20,33
2639;81,2;46,9;22,7;1,906;132,00;38,75;1641;7,5;0,00;0,00;0,14;1,20;1,17;4,22;0,00;0;20,33
2720;81,2;46,9;21,9;1,986;137,43;40,75;1657;7,5;0,00;0,00;0,14;1,64;1,17;4,49;0,00;0;20,33
2799;81,2;46,9;22,7;1,901;130,73;38,75;1657;7,5;0,00;0,00;0,14;2,08;1,13;4,55;0,00;0;20,33
2878;81,2;46,9;22,3;2,051;140,82;41,75;1657;7,5;0,00;0,00;0,14;2,51;1,17;4,55;0,00;0;20,33
2958;81,2;46,9;22,7;2,008;136,92;40,75;1663;7,5;0,00;0,00;0,14;2,95;1,17;3,61;0,00;0;20,33
3041;81,2;46,9;22,7;1,965;133,44;39,75;1665;7,5;0,00;0,00;0,14;3,39;1,17;1,97;0,00;0;20,33
3120;81,2;46,9;22,7;1,917;133,19;39,75;1668;7,5;0,00;0,00;0,14;1,24;1,15;0,90;0,00;0;20,33
3200;81,2;46,9;22,7;1,869;129,97;38,75;1667;7,5;0,00;0,00;0,14;0,80;1,15;0,72;0,00;0;20,33
3279;81,2;46,9;23,0;1,944;135,65;40,75;1679;7,5;0,00;0,00;0,14;0,36;1,19;0,68;0,00;0;20,33
3359;81,2;46,9;22,3;2,072;145,99;43,75;1674;7,5;0,00;0,00;0,14;-0,08;1,17;0,64;0,00;0;20,33
3440;81,2;46,9;23,0;1,864;131,49;39,75;1690;7,5;0,00;0,00;0,14;-0,55;1,17;0,62;0,00;0;20,33
3519;81,2;46,9;23,0;1,730;122,17;36,75;1682;7,5;0,00;0,00;0,14;-0,99;1,13;0,62;0,00;0;20,33
3599;81,2;46,9;23,0;1,848;131,58;39,75;1688;7,5;0,00;0,00;0,14;-1,47;1,19;0,59;0,00;0;20,33
3678;81,2;46,9;23,4;1,832;130,90;39,75;1697;7,5;0,00;0,00;0,14;-1,95;1,15;0,62;0,00;0;20,33
3758;81,2;46,9;22,3;2,045;147,94;44,75;1690;7,5;0,00;0,00;0,14;-2,42;1,17;1,15;0,00;0;20,33
3840;81,2;46,9;23,8;1,864;129,97;39,75;1709;7,5;0,00;0,00;0,14;0,65;1,17;3,30;0,00;0;20,33
3922;81,2;46,9;23,4;1,890;130,90;39,75;1697;7,5;0,00;0,00;0,14;1,13;1,17;4,14;0,00;0;20,33
