Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
3999;81,2;46,9;23,4;1,965;136,16;41,75;1713;7,5;0,00;0,00;0,14;1,60;1,21;4,31;0,00;0;20,33
4078;81,2;46,9;22,3;1,981;136,58;41,75;1708;7,5;0,00;0,00;0,14;2,08;1,15;4,39;0,00;0;20,33
4159;81,2;46,9;23,4;1,661;113,18;34,75;1718;7,5;0,00;0,00;0,14;2,55;1,13;3,75;0,00;0;20,33
4240;81,2;46,9;23,0;2,035;142,35;43,75;1717;7,5;0,00;0,00;0,14;0,59;1,19;0,68;0,00;0;20,33
4320;81,2;46,9;23,4;2,061;145,23;44,75;1721;7,5;0,00;0,00;0,14;0,12;1,19;0,59;0,00;0;20,33
4399;81,2;46,9;23,4;1,960;138,19;42,75;1728;7,5;0,00;0,00;0,14;-0,36;1,19;0,68;0,00;0;20,33
4479;81,2;46,9;23,8;1,912;135,31;41,75;1724;7,5;0,00;0,00;0,14;-0,83;1,19;0,90;0,00;0;20,33
4560;81,2;46,9;23,0;2,013;143,70;44,75;1739;7,5;0,00;0,00;0,14;-1,31;1,21;1,07;0,00;0;20,33
4642;81,2;46,9;23,4;1,922;137,94;42,75;1732;7,5;0,00;0,00;0,14;-1,79;1,15;0,90;0,00;0;20,33
4718;81,2;46,9;23,8;1,821;130,99;40,75;1739;7,5;0,00;0,00;0,14;-2,26;1,13;0,78;0,00;0;20,33
4798;81,2;46,9;23,8;1,810;130,48;40,75;1745;7,5;0,00;0,00;0,14;-2,74;1,15;0,62;0,00;0;20,33
4879;81,2;46,9;23,4;2,019;146,92;45,75;1739;7,5;0,00;0,00;0,14;-3,22;1,15;0,64;0,00;0;20,33
4958;81,2;46,9;24,1;1,784;129,97;40,75;1752;7,5;0,00;0,00;0,14;-3,69;1,13;0,84;0,00;0;20,33
5039;81,2;46,9;23,8;1,741;127,42;39,75;1743;7,5;0,00;0,00;0,14;-0,95;1,17;2,67;0,00;0;20,33
5119;81,2;46,9;24,1;1,869;132,17;41,75;1765;7,5;0,00;0,00;0,14;-0,47;1,13;4,14;0,00;0;20,33
5200;81,2;46,9;23,8;2,067;146,08;45,75;1749;7,5;0,00;0,00;0,14;-0,03;1,23;4,47;0,00;0;20,33
5280;81,2;46,9;24,1;1,800;125,81;39,75;1766;7,5;0,00;0,00;0,14;0,48;1,13;4,55;0,00;0;20,33
5360;81,2;46,9;24,1;1,768;122,85;38,75;1763;7,5;0,00;0,00;0,14;0,94;1,17;4,59;0,00;0;20,33
5438;81,2;46,1;24,1;1,986;137,94;43,75;1772;7,5;0,00;0,00;0,14;1,45;1,23;4,63;0,00;0;20,33
5519;81,2;46,1;24,5;1,816;125,05;39,75;1777;7,5;0,00;0,00;0,14;1,93;1,15;4,63;0,00;0;20,33
5598;81,2;46,1;24,1;2,008;137,85;43,75;1773;7,5;0,00;0,00;0,14;2,44;1,21;4,65;0,00;0;20,33
5678;81,2;46,1;24,1;2,045;140,14;44,75;1784;7,5;0,00;0,00;0,14;2,95;1,17;4,65;0,00;0;20,33
5760;81,2;46,1;24,5;1,970;134,12;42,75;1781;7,5;0,00;0,00;0,14;3,46;1,17;4,65;0,00;0;20,33
5838;81,2;46,1;23,8;2,152;146,42;46,75;1783;7,5;0,00;0,00;0,14;3,97;1,21;4,57;0,00;0;20,33
5918;81,2;46,1;24,5;1,837;123,78;39,75;1795;7,5;0,00;0,00;0,14;4,49;1,13;4,45;0,00;0;20,33
6000;81,2;46,1;24,5;1,992;133,61;42,75;1788;7,5;0,00;0,00;0,14;5,00;1,17;2,99;0,00;0;20,33
6079;81,2;46,1;25,3;1,896;129,54;41,75;1801;7,5;0,00;0,00;0,14;3,05;1,19;0,70;0,00;0;20,33
6159;81,2;46,1;24,9;1,890;129,46;41,75;1802;7,5;0,00;0,00;0,14;2,53;1,19;0,61;0,00;0;20,33
6240;81,2;46,1;24,9;1,842;126,75;40,75;1797;7,5;0,00;0,00;0,14;2,02;1,17;0,59;0,00;0;20,33
6319;81,2;46,1;24,5;1,986;137,85;44,75;1813;7,5;0,00;0,00;0,14;1,51;1,17;0,55;0,00;0;20,33
6400;81,2;46,1;24,9;1,858;129,63;41,75;1800;7,5;0,00;0,00;0,14;1,00;1,21;0,53;0,00;0;20,33
6479;81,2;46,1;24,9;1,880;131,32;42,75;1819;7,1;0,00;0,00;0,14;0,48;1,19;0,53;0,00;0;20,33
6559;81,2;46,1;24,9;1,746;122,68;39,75;1811;7,1;0,00;0,00;0,14;-0,00;1,17;0,55;0,00;0;20,33
6638;81,2;46,1;24,9;1,784;125,47;40,75;1815;7,1;0,00;0,00;0,14;-0,50;1,15;0,57;0,00;0;20,33
6718;81,2;46,1;25,3;1,794;127,68;41,75;1827;7,1;0,00;0,00;0,14;-1,01;1,15;0,62;0,00;0;20,33
6799;81,2;46,1;25,3;1,837;130,99;42,75;1823;7,1;0,00;0,00;0,14;-1,50;1,21;1,03;0,00;0;20,33
6878;81,2;46,1;25,3;1,800;124,46;40,75;1830;7,1;0,00;0,00;0,14;1,56;1,17;2,85;0,00;0;20,33
6959;81,2;46,1;25,3;1,933;133,36;43,75;1833;7,1;0,00;0,00;0,14;2,08;1,17;3,67;0,00;0;20,33
7038;81,2;46,1;24,9;1,682;115,30;37,75;1830;7,1;0,00;0,00;0,14;2,56;1,13;2,11;0,00;0;20,33
7119;81,2;46,1;25,3;1,810;126,41;41,75;1845;7,1;0,00;0,00;0,14;0,51;1,15;0,61;0,00;0;20,33
7200;81,2;46,1;25,3;1,719;120,64;39,75;1841;7,1;0,00;0,00;0,14;0,02;1,11;0,55;0,00;0;20,33
7279;81,2;46,1;25,3;1,757;123,86;40,75;1838;7,1;0,00;0,00;0,14;-0,42;1,19;0,55;0,00;0;20,33
7361;81,2;46,1;25,3;1,693;120,05;39,75;1851;7,1;0,00;0,00;0,14;-0,91;1,17;0,59;0,00;0;20,33
7439;81,2;46,1;25,3;1,773;126,41;41,75;1846;7,1;0,00;0,00;0,14;-1,39;1,17;0,64;0,00;0;20,33
7520;81,2;46,1;25,6;1,789;128,44;42,75;1859;7,1;0,00;0,00;0,14;-1,88;1,15;0,64;0,00;0;20,33
7601;81,2;46,1;25,3;1,586;114,03;37,75;1851;7,1;0,00;0,00;0,14;-2,37;1,11;0,66;0,00;0;20,33
7679;81,2;46,1;25,6;1,655;119,46;39,75;1860;7,1;0,00;0,00;0,14;-2,83;1,17;0,64;0,00;0;20,33
7761;81,2;46,1;25,6;1,794;130,65;43,75;1871;7,1;0,00;0,00;0,14;-3,34;1,19;0,68;0,00;0;20,33
7839;81,2;46,1;25,3;1,549;113,18;37,75;1865;7,1;0,00;0,00;0,14;-3,87;1,17;0,82;0,00;0;20,33
7919;81,2;46,1;25,6;1,703;124,71;41,75;1871;7,1;0,00;0,00;0,14;-4,38;1,17;0,94;0,00;0;20,33
7998;81,2;46,1;26,0;1,800;133,27;44,75;1876;7,1;0,00;0,00;0,14;-4,93;1,17;0,70;0,00;0;20,33
8079;81,2;46,1;25,6;1,522;112,67;37,75;1873;7,1;0,00;0,00;0,14;-5,00;1,15;0,84;0,00;0;20,33
8157;81,2;46,1;26,0;1,639;121,24;40,75;1879;7,1;0,00;0,00;0,14;-5,00;1,15;1,54;0,00;0;20,33
8237;81,2;46,1;25,3;1,479;106,31;35,75;1881;7,1;0,00;0,00;0,14;-1,87;1,13;3,10;0,00;0;20,33
8319;81,2;46,1;26,0;1,864;132,85;44,75;1881;7,1;0,00;0,00;0,14;-1,42;1,17;4,27;0,00;0;20,33
8400;81,2;46,1;26,0;1,778;125,98;42,75;1896;7,1;0,00;0,00;0,14;-0,87;1,17;4,51;0,00;0;20,33
8480;81,2;46,1;26,0;1,922;135,90;45,75;1880;7,1;0,00;0,00;0,14;-0,33;1,17;4,59;0,00;0;20,33
8559;81,2;46,1;26,0;1,805;126,24;42,75;1892;7,1;0,00;0,00;0,14;0,22;1,15;4,57;0,00;0;20,33
8639;81,2;46,1;25,6;1,613;114,37;38,75;1894;7,1;0,00;0,00;0,14;-1,09;1,13;1,19;0,00;0;20,33
8722;81,2;46,1;26,0;1,805;128,87;43,75;1897;7,1;0,00;0,00;0,14;-1,54;1,17;0,59;0,00;0;20,33
8799;81,2;46,1;26,4;1,794;128,87;43,75;1897;7,1;0,00;0,00;0,14;-2,08;1,15;0,57;0,00;0;20,33
8879;81,2;46,1;26,0;1,666;119,96;40,75;1898;7,1;0,00;0,00;0,14;-2,57;1,15;0,64;0,00;0;20,33
8958;81,2;46,1;26,0;1,650;119,88;40,75;1900;7,1;0,00;0,00;0,14;-3,06;1,19;0,64;0,00;0;20,33
9038;81,2;46,1;26,0;1,426;104,62;35,75;1911;5,1;0,00;0,00;0,14;-3,59;1,03;0,74;0,00;0;20,33
9118;81,2;46,1;24,5;0,619;46,88;15,75;1896;0,4;0,00;0,00;0,14;-3,91;0,74;1,95;0,00;0;20,33
9199;81,2;46,1;23,0;0,860;63,33;20,75;1842;0,4;3,35;0,00;0,14;-1,14;0,84;3,73;0,00;0;20,33
9278;81,2;46,1;21,5;0,822;58,92;19,75;1884;0,4;3,12;0,00;0,14;-0,92;0,82;3,86;0,00;0;20,33
9359;81,2;46,1;20,0;0,865;62,99;21,75;1940;0,4;2,81;0,00;0,14;-0,70;0,86;4,49;0,00;0;20,33
9438;81,2;46,1;18,5;0,726;51,29;17,75;1947;0,4;2,50;0,00;0,14;-0,49;0,78;4,59;0,00;0;20,33
9518;81,2;46,1;17,1;0,801;56,55;18,75;1866;0,0;4,82;0,00;0,14;-0,27;0,78;4,63;0,00;0;20,33
9598;81,2;46,1;15,6;0,774;54,00;17,75;1850;0,0;4,51;0,00;0,14;-0,05;0,78;4,65;0,00;0;20,33
9679;81,2;46,1;14,1;0,737;51,80;17,75;1928;0,0;4,20;0,00;0,14;0,17;0,78;4,55;0,00;0;20,33
9759;81,2;46,1;12,6;0,710;50,10;16,75;1884;0,0;3,90;0,00;0,14;-1,03;0,78;1,41;0,00;0;20,33
9839;81,2;46,1;11,1;0,753;53,16;17,75;1880;0,0;3,59;0,00;0,14;-1,25;0,80;0,62;0,00;0;20,33
9918;81,2;45,4;10,0;0,593;41,03;13,75;1895;0,0;3,28;0,00;0,14;-1,47;0,68;0,55;0,00;0;20,33
9998;81,2;45,4;10,0;0,673;47,56;15,75;1866;0,0;2,97;0,00;0,14;-1,69;0,72;0,53;0,00;0;20,33
10079;81,2;45,4;9,2;0,630;44,17;14,75;1884;0,0;2,66;0,00;0,14;-1,91;0,68;0,53;0,00;0;20,33
10168;81,2;45,4;10,0;0,673;47,22;15,75;1880;0,0;2,31;0,00;0,14;-2,13;0,76;0,53;0,00;0;20,33
10249;81,2;45,4;10,3;0,716;50,78;16,75;1857;0,0;2,00;0,00;0,14;-2,35;0,72;0,62;0,00;0;20,33
10329;81,2;45,4;10,0;0,774;53,58;17,75;1866;0,0;1,69;0,00;0,14;0,12;0,76;4,12;0,00;0;20,33
10409;81,2;45,4;10,3;0,737;50,70;16,75;1862;0,0;1,38;0,00;0,14;0,34;0,76;4,45;0,00;0;20,33
10489;81,2;45,4;10,0;0,700;47,99;15,75;1851;0,0;1,07;0,00;0,14;0,56;0,74;4,59;0,00;0;20,33
10569;81,2;45,4;9,2;0,635;41,97;13,75;1850;0,0;0,76;0,00;0,14;0,78;0,64;4,65;0,00;0;20,33
10650;81,2;45,4;8,1;0,598;39,17;12,75;1841;0,0;0,46;0,00;0,14;1,00;0,68;4,68;0,00;0;20,33
10729;81,2;45,4;8,5;0,635;42,14;13,75;1843;0,0;1,19;0,00;0,14;1,22;0,68;4,68;0,00;0;20,33
10810;81,2;45,4;7,0;0,678;45,27;14,75;1838;0,0;1,19;0,00;0,14;1,44;0,70;4,70;0,00;0;20,33
10891;81,2;45,4;5,5;0,726;48,58;15,75;1829;0,0;1,19;0,00;0,14;1,66;0,74;4,72;0,00;0;20,33
10969;81,2;46,1;3,6;0,726;48,49;15,75;1831;0,4;1,19;0,00;0,14;1,88;0,72;4,72;0,00;0;20,33
11049;81,2;46,1;2,1;0,732;48,66;15,75;1825;0,8;1,19;0,00;0,14;2,10;0,76;4,72;0,00;0;20,33
11129;81,2;46,1;2,5;0,817;54,94;17,75;1820;1,6;0,65;0,00;0,14;2,32;0,78;4,74;0,00;0;20,33
11210;81,2;46,1;4,0;0,860;57,82;18,75;1824;2,0;0,00;0,00;0,14;2,54;0,80;4,74;0,00;0;20,33
11289;81,2;46,1;5,5;0,908;61,47;19,75;1806;2,0;0,00;0,00;0,14;2,76;0,82;4,74;0,00;0;20,33
11369;81,2;46,1;7,0;0,828;55,19;17,75;1812;3,1;0,00;0,00;0,14;2,98;0,80;4,74;0,00;0;20,33
11448;81,2;46,1;8,5;1,079;73,93;23,75;1802;4,3;0,00;0,00;0,14;3,20;0,94;4,74;0,00;0;20,33
11528;81,2;46,1;10,0;1,442;98,09;31,75;1812;5,1;0,00;0,00;0,14;3,44;1,05;4,74;0,00;0;20,33
11609;81,2;46,1;11,5;1,420;96,82;31,75;1835;5,1;0,00;0,00;0,14;3,78;1,05;4,74;0,00;0;20,33
11688;81,2;46,1;12,6;1,549;104,87;34,75;1854;5,1;0,00;0,00;0,14;4,12;1,03;4,74;0,00;0;20,33
11768;81,2;46,1;14,4;1,623;109,20;34,75;1780;5,1;0,00;0,00;0,14;4,49;1,07;4,74;0,00;0;20,33
11849;81,2;46,1;15,6;1,458;98,01;31,75;1813;5,1;0,00;0,00;0,14;4,87;1,03;4,72;0,00;0;20,33
11929;81,2;46,1;16,3;1,570;105,30;33,75;1793;6,3;0,00;0,00;0,14;5,22;1,05;4,74;0,00;0;20,33
12009;81,2;46,1;17,8;1,746;116,32;37,75;1814;6,7;0,00;0,00;0,14;5,64;1,09;4,72;0,00;0;20,33
12089;81,2;46,1;19,3;1,810;120,05;38,75;1805;6,7;0,00;0,00;0,14;6,08;1,15;4,74;0,00;0;20,33
12169;81,2;46,1;20,8;1,906;125,47;40,75;1815;6,7;0,00;0,00;0,14;6,55;1,13;4,74;0,00;0;20,33
12250;81,2;46,1;22,3;1,778;116,57;37,75;1810;6,7;0,00;0,00;0,14;7,03;1,15;4,74;0,00;0;20,33
12329;81,2;46,1;23,4;1,874;122,68;39,75;1811;6,7;0,00;0,00;0,14;7,52;1,17;4,74;0,00;0;20,33
12408;81,2;46,1;24,9;2,104;137,34;44,75;1820;6,7;0,00;0,00;0,14;8,02;1,15;4,74;0,00;0;20,33
12489;81,2;46,1;24,5;1,752;113,44;36,75;1812;6,7;0,00;0,00;0,14;8,52;1,13;4,74;0,00;0;20,33
12569;81,2;46,1;24,9;1,800;115,81;37,75;1822;6,7;0,00;0,00;0,14;9,00;1,11;4,72;0,00;0;20,33
12649;81,2;46,1;24,5;1,805;116,06;37,75;1818;6,7;0,00;0,00;0,14;9,42;1,09;4,72;0,00;0;20,33
12730;81,2;46,1;24,5;1,762;113,01;36,75;1818;6,7;0,00;0,00;0,14;9,82;1,11;4,72;0,00;0;20,33
12809;81,2;46,1;25,3;2,002;127,42;41,75;1831;6,7;0,00;0,00;0,14;10,29;1,13;4,74;0,00;0;20,33
12887;81,2;46,1;24,9;1,970;124,88;40,75;1823;6,7;0,00;0,00;0,14;10,77;1,13;4,74;0,00;0;20,33
12969;81,2;46,1;25,3;2,019;127,42;41,75;1831;6,7;0,00;0,00;0,14;11,27;1,17;4,74;0,00;0;20,33
13051;81,2;46,1;24,5;1,634;103,09;33,75;1832;6,7;0,00;0,00;0,14;11,75;1,07;4,70;0,00;0;20,33
13129;81,2;46,1;24,9;1,890;118,61;38,75;1826;6,7;0,00;0,00;0,14;12,14;1,15;2,87;0,00;0;20,33
13209;81,2;46,1;24,9;1,890;120,39;39,75;1845;6,7;0,00;0,00;0,14;10,27;1,13;0,92;0,00;0;20,33
13290;81,2;46,1;25,3;1,986;127,09;41,75;1836;6,7;0,00;0,00;0,14;9,79;1,13;1,44;0,00;0;20,33
13368;81,2;46,1;25,6;2,019;129,88;42,75;1839;6,7;0,00;0,00;0,14;9,32;1,13;1,21;0,00;0;20,33
13450;81,2;46,1;25,3;2,002;129,37;42,75;1846;6,7;0,00;0,00;0,14;8,84;1,15;0,70;0,00;0;20,33
13529;81,2;46,1;25,3;1,906;123,78;40,75;1840;6,7;0,00;0,00;0,14;8,36;1,15;0,59;0,00;0;20,33
13609;81,2;46,1;25,6;2,072;135,22;44,75;1848;6,7;0,00;0,00;0,14;7,87;1,19;0,55;0,00;0;20,33
13688;81,2;46,1;25,3;1,970;129,20;42,75;1848;6,7;0,00;0,00;0,14;7,36;1,17;0,53;0,00;0;20,33
13769;81,2;46,1;25,3;1,832;120,22;39,75;1848;6,7;0,00;0,00;0,14;6,89;1,15;0,51;0,00;0;20,33
13850;81,2;46,1;25,6;1,858;122,42;40,75;1860;6,7;0,00;0,00;0,14;6,42;1,13;0,49;0,00;0;20,33
13928;81,2;46,1;25,6;1,906;126,32;41,75;1847;6,7;0,00;0,00;0,14;5,94;1,17;0,49;0,00;0;20,33
14008;81,2;46,1;25,3;1,693;113,10;37,75;1866;6,7;0,00;0,00;0,14;5,46;1,09;0,49;0,00;0;20,33
14089;81,2;46,1;25,6;1,917;128,44;42,75;1859;6,7;0,00;0,00;0,14;5,02;1,15;0,51;0,00;0;20,33
14169;81,2;46,1;25,3;1,597;107,25;35,75;1864;6,7;0,00;0,00;0,14;4,50;1,07;0,51;0,00;0;20,33
14249;81,2;46,1;25,3;2,067;140,06;46,75;1864;6,7;0,00;0,00;0,14;4,03;1,21;0,53;0,00;0;20,33
14328;81,2;46,1;25,6;1,752;118,78;39,75;1871;6,7;0,00;0,00;0,14;3,51;1,17;0,53;0,00;0;20,33
14409;81,2;46,1;25,6;1,741;119,03;39,75;1867;6,7;0,00;0,00;0,14;3,00;1,15;0,53;0,00;0;20,33
14489;81,2;46,1;25,6;1,597;109,45;36,75;1878;6,7;0,00;0,00;0,14;2,54;1,11;0,53;0,00;0;20,33
14568;81,2;46,1;25,6;1,730;119,03;39,75;1867;6,7;0,00;0,00;0,14;2,10;1,11;0,53;0,00;0;20,33
14649;81,2;46,1;26,0;1,794;123,86;41,75;1883;6,7;0,00;0,00;0,14;1,66;1,17;0,55;0,00;0;20,33
14729;81,2;46,1;25,6;1,832;127,17;42,75;1878;6,7;0,00;0,00;0,14;1,19;1,19;0,78;0,00;0;20,33
14810;81,2;46,1;26,0;1,746;118,01;39,75;1882;6,7;0,00;0,00;0,14;3,92;1,13;2,75;0,00;0;20,33
14889;81,2;46,1;26,0;1,794;120,90;40,75;1884;6,7;0,00;0,00;0,14;4,38;1,15;4,00;0,00;0;20,33
14970;81,2;46,1;25,6;2,056;138,28;46,75;1888;6,7;0,00;0,00;0,14;4,89;1,23;4,20;0,00;0;20,33
15049;81,2;46,1;26,4;1,901;126,58;42,75;1887;6,7;0,00;0,00;0,14;5,42;1,17;4,26;0,00;0;20,33
15129;81,2;46,1;26,0;1,858;125,90;42,75;1897;6,7;0,00;0,00;0,14;3,73;1,13;0,68;0,00;0;20,33
15209;81,2;46,1;25,6;1,597;108,94;36,75;1887;6,7;0,00;0,00;0,14;3,26;1,11;0,53;0,00;0;20,33
15290;81,2;46,1;26,0;1,762;120,30;40,75;1893;6,7;0,00;0,00;0,14;2,78;1,15;0,51;0,00;0;20,33
15368;81,2;46,1;26,4;1,784;122,76;41,75;1900;6,7;0,00;0,00;0,14;2,31;1,15;0,51;0,00;0;20,33
15449;81,2;46,1;26,4;1,778;122,76;41,75;1900;6,7;0,00;0,00;0,14;1,80;1,19;0,53;0,00;0;20,33
15528;81,2;46,1;26,4;1,805;125,47;42,75;1904;6,7;0,00;0,00;0,14;1,27;1,19;0,53;0,00;0;20,33
15609;81,2;46,1;26,4;1,666;116,83;39,75;1902;6,7;0,00;0,00;0,14;0,73;1,15;0,53;0,00;0;20,33
15688;81,2;46,1;26,8;1,826;128,44;43,75;1903;6,7;0,00;0,00;0,14;0,20;1,17;0,53;0,00;0;20,33
15769;81,2;46,1;26,0;1,639;116,06;39,75;1914;6,7;0,00;0,00;0,14;-0,28;1,11;0,51;0,00;0;20,33
15849;81,2;46,1;26,8;1,800;127,76;43,75;1913;6,7;0,00;0,00;0,14;-0,77;1,21;0,53;0,00;0;20,33
