Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
10489;81,2;37,9;-11,7;0,491;38,83;43,75;6291;0,0;0,00;0,00;0,14;0,00;1,15;0,53;0,00;0;11,44
10569;81,2;38,7;-10,2;0,646;43,92;49,75;6321;0,0;0,00;0,00;0,14;0,00;1,29;0,57;0,00;0;11,55
10650;81,2;38,7;-6,4;0,801;56,46;64,75;6388;0,0;0,00;0,00;0,14;0,00;1,33;0,57;0,00;0;11,66
10731;81,2;38,7;-2,3;0,956;69,01;78,75;6355;0,0;0,00;0,00;0,14;0,00;1,56;0,74;0,00;0;11,66
10811;81,2;38,7;-6,1;0,769;54,09;61,75;6365;0,0;0,00;0,00;0,14;0,00;1,42;4,39;0,00;0;20,33
10889;81,2;38,7;-5,7;0,785;55,02;62,75;6357;0,0;0,00;0,00;0,14;0,00;1,41;4,65;0,00;0;20,33
10969;81,2;38,7;-6,8;0,705;49,00;55,75;6346;0,0;0,00;0,00;0,14;0,00;1,42;4,72;0,00;0;20,33
11051;81,2;37,9;-5,3;0,758;53,41;60,75;6338;0,0;0,00;0,00;0,14;0,00;1,39;4,76;0,00;0;20,33
11131;81,2;37,9;-5,0;0,758;53,92;60,75;6280;0,0;0,00;0,00;0,14;0,00;1,39;4,78;0,00;0;20,33
11215;81,2;37,9;-4,6;0,753;53,16;59,75;6265;0,0;0,00;0,00;0,14;0,00;1,31;4,80;0,00;0;20,33
11300;81,2;37,9;-6,4;0,646;44,34;49,75;6261;0,0;0,00;0,00;0,14;0,00;1,35;4,82;0,00;0;20,33
11379;81,2;37,9;-5,3;0,689;48,41;53,75;6194;0,0;0,00;0,00;0,14;0,00;1,33;4,82;0,00;0;20,33
11458;81,2;37,9;-3,8;0,748;53,24;58,75;6157;0,0;0,00;0,00;0,14;0,00;1,35;4,84;0,00;0;20,33
11542;81,2;38,7;-5,7;0,673;47,05;51,75;6139;0,0;0,00;0,00;0,14;0,00;1,29;4,84;0,00;0;20,33
11620;81,2;38,7;-6,8;0,625;43,58;47,75;6111;0,0;0,00;0,00;0,14;0,00;1,19;4,84;0,00;0;20,33
11698;82,0;38,7;-5,7;0,667;46,80;50,75;6049;0,0;0,00;0,00;0,14;0,00;1,27;4,84;0,00;0;20,33
11780;82,0;38,7;-6,4;0,635;44,26;47,75;6026;0,0;0,00;0,00;0,14;0,00;1,21;4,84;0,00;0;20,33
11861;82,0;38,7;-6,4;0,635;44,34;47,75;6007;0,0;0,00;0,00;0,14;0,00;1,27;4,84;0,00;0;20,33
11940;82,0;38,7;-4,2;0,732;52,14;55,75;5961;0,0;0,00;0,00;0,14;0,00;1,35;4,84;0,00;0;20,33
12021;82,0;38,7;-6,1;0,651;45,70;48,75;5950;0,0;0,00;0,00;0,14;0,00;1,29;4,84;0,00;0;20,33
12099;82,0;39,4;-5,3;0,684;48,16;50,75;5882;0,0;0,00;0,00;0,14;0,00;1,29;4,84;0,00;0;20,33
12180;82,7;39,4;-6,1;0,646;45,53;47,75;5850;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
12261;82,7;39,4;-6,4;0,657;46,63;48,75;5837;0,0;0,00;0,00;0,14;0,00;1,25;4,84;0,00;0;20,33
12340;82,7;39,4;-6,4;0,625;44,00;45,75;5798;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
12419;82,7;39,4;-6,1;0,651;46,21;47,75;5763;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
12500;82,7;39,4;-5,0;0,700;50,36;51,75;5733;0,0;0,00;0,00;0,14;0,00;1,31;4,86;0,00;0;20,33
12578;82,7;40,1;-5,7;0,667;47,65;48,75;5705;0,0;0,00;0,00;0,14;0,00;1,29;4,84;0,00;0;20,33
12661;82,7;40,1;-6,4;0,619;44,09;44,75;5667;0,0;0,00;0,00;0,14;0,00;1,19;4,84;0,00;0;20,33
12741;82,7;40,1;-4,2;0,716;52,31;52,75;5623;0,0;0,00;0,00;0,14;0,00;1,31;4,84;0,00;0;20,33
12820;82,7;40,1;-5,7;0,657;47,39;47,75;5621;0,0;0,00;0,00;0,14;0,00;1,27;4,84;0,00;0;20,33
12900;82,7;40,1;-5,0;0,694;50,53;50,75;5607;0,0;0,00;0,00;0,14;0,00;1,25;4,84;0,00;0;20,33
12980;82,7;40,1;-4,6;0,700;50,78;50,75;5574;0,0;0,00;0,00;0,14;0,00;1,29;4,84;0,00;0;20,33
13060;82,7;40,1;-5,3;0,678;49,17;48,75;5536;0,0;0,00;0,00;0,14;0,00;1,27;4,86;0,00;0;20,33
13140;82,7;40,1;-5,3;0,662;48,41;47,75;5503;0,0;0,00;0,00;0,14;0,00;1,23;4,86;0,00;0;20,33
13220;82,7;40,1;-4,6;0,705;51,55;50,75;5496;0,0;0,00;0,00;0,14;0,00;1,31;4,86;0,00;0;20,33
13301;82,7;40,1;-6,8;0,603;43,66;42,75;5462;0,0;0,00;0,00;0,14;0,00;1,17;4,84;0,00;0;20,33
13379;82,7;40,1;-6,1;0,635;46,04;44,75;5426;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
13459;82,7;40,1;-5,0;0,689;50,53;48,75;5388;0,0;0,00;0,00;0,14;0,00;1,27;4,86;0,00;0;20,33
13540;82,7;40,9;-5,0;0,689;50,36;48,75;5406;0,0;0,00;0,00;0,14;0,00;1,27;4,84;0,00;0;20,33
13619;82,7;40,9;-5,7;0,657;47,99;45,75;5323;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
13700;82,7;40,9;-6,1;0,635;46,04;43,75;5306;0,0;0,00;0,00;0,14;0,00;1,19;4,86;0,00;0;20,33
13780;82,7;40,9;-5,0;0,684;50,19;47,75;5309;0,0;0,00;0,00;0,14;0,00;1,23;4,86;0,00;0;20,33
13860;82,7;40,9;-5,7;0,651;47,31;44,75;5276;0,0;0,00;0,00;0,14;0,00;1,23;4,86;0,00;0;20,33
13943;82,7;40,9;-4,6;0,705;51,89;48,75;5245;0,0;0,00;0,00;0,14;0,00;1,23;4,86;0,00;0;20,33
14020;82,7;40,9;-4,6;0,700;51,12;47,75;5211;0,0;0,00;0,00;0,14;0,00;1,27;4,86;0,00;0;20,33
14099;82,7;41,6;-4,6;0,705;51,72;47,75;5151;0,0;0,00;0,00;0,14;0,00;1,25;4,86;0,00;0;20,33
14180;82,7;41,6;-3,8;0,732;53,75;49,75;5163;0,0;0,00;0,00;0,14;0,00;1,25;4,84;0,00;0;20,33
14260;82,7;41,6;-4,6;0,705;51,72;47,75;5151;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
14340;82,7;41,6;-5,7;0,651;47,56;43,75;5136;0,0;0,00;0,00;0,14;0,00;1,21;4,86;0,00;0;20,33
14421;82,7;41,6;-5,7;0,651;47,65;43,75;5125;0,0;0,00;0,00;0,14;0,00;1,21;4,86;0,00;0;20,33
14500;82,7;41,6;-5,3;0,667;48,83;44,75;5114;0,0;0,00;0,00;0,14;0,00;1,19;4,86;0,00;0;20,33
14580;82,7;41,6;-7,2;0,593;42,47;38,75;5092;0,0;0,00;0,00;0,14;0,00;1,13;4,86;0,00;0;20,33
14659;82,7;41,6;-5,3;0,678;49,17;44,75;5082;0,0;0,00;0,00;0,14;0,00;1,17;4,86;0,00;0;20,33
14739;82,7;41,6;-4,2;0,721;52,65;47,75;5063;0,0;0,00;0,00;0,14;0,00;1,25;4,84;0,00;0;20,33
14820;82,7;41,6;-5,3;0,673;48,58;43,75;5028;0,0;0,00;0,00;0,14;0,00;1,21;4,84;0,00;0;20,33
14902;82,7;41,6;-3,1;0,764;56,12;50,75;5048;0,0;0,00;0,00;0,14;0,00;1,29;4,84;0,00;0;20,33
14979;82,7;41,6;-4,2;0,726;52,90;47,75;5035;0,0;0,00;0,00;0,14;0,00;1,23;4,84;0,00;0;20,33
