Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
0;82,0;41,6;4,7;0,641;43,75;21,75;2793;0,0;0,00;0,00;0,14;0,00;0,86;4,86;0,00;0;20,33
79;82,0;41,6;4,0;0,614;41,71;20,75;2793;0,0;0,00;0,00;0,14;0,00;0,84;4,86;0,00;0;20,33
159;82,0;41,6;4,7;0,646;43,92;21,75;2780;0,0;0,00;0,00;0,14;0,00;0,84;4,86;0,00;0;20,33
240;82,0;41,6;3,6;0,593;39,93;19,75;2777;0,0;0,00;0,00;0,14;0,00;0,82;4,86;0,00;0;20,33
319;82,0;41,6;4,7;0,646;44,17;21,75;2767;0,0;0,00;0,00;0,14;0,00;0,84;4,86;0,00;0;20,33
399;82,0;41,6;4,4;0,625;42,31;20,75;2758;0,0;0,00;0,00;0,14;0,00;0,88;4,86;0,00;0;20,33
480;82,0;41,6;4,4;0,651;44,51;21,75;2745;0,0;0,00;0,00;0,14;0,00;0,84;4,86;0,00;0;20,33
559;82,0;41,6;2,9;0,571;38,49;18,75;2742;0,0;0,00;0,00;0,14;0,00;0,82;4,86;0,00;0;20,33
638;82,0;41,6;10,7;1,292;48,66;23,75;2740;3,9;0,00;0,00;0,14;0,00;0,96;4,86;0,00;0;20,33
720;82,0;41,6;14,1;2,344;124,63;61,75;2764;11,4;0,00;0,00;0,14;0,00;1,48;4,86;0,00;0;20,33
802;82,0;41,6;7,7;4,662;264,26;135,75;2859;18,4;0,00;0,00;0,14;0,95;1,99;4,86;0,00;0;20,33
880;82,0;41,6;4,4;5,180;306,48;155,75;2828;30,6;0,00;0,00;0,14;0,00;1,99;1,33;0,00;0;20,33
960;82,0;41,6;5,9;3,989;255,27;124,75;2720;37,3;0,00;0,00;0,14;0,00;1,85;0,55;0,00;0;11,94
1038;82,0;42,4;5,9;4,598;264,60;132,75;2792;45,9;0,00;0,00;0,14;0,00;1,95;0,57;0,00;0;11,94
1119;82,0;42,4;7,4;4,235;268,50;135,75;2814;47,5;0,00;0,00;0,14;0,00;1,91;0,64;0,00;0;14,58
1201;82,0;42,4;8,5;4,416;277,57;140,75;2822;47,5;0,00;0,00;0,14;0,00;1,91;0,76;0,00;0;14,58
1280;82,0;42,4;8,9;4,534;283,42;144,75;2842;47,5;0,00;0,00;0,14;0,00;1,93;0,70;0,00;0;14,63
1361;82,0;42,4;4,7;4,614;286,81;145,75;2828;54,1;0,00;0,00;0,14;0,00;1,99;0,62;0,00;0;14,63
1441;82,0;42,4;5,5;4,865;298,85;154,75;2881;72,2;0,00;0,00;0,14;0,00;2,05;0,61;0,00;0;14,02
1521;82,0;42,4;6,2;5,196;314,96;163,75;2893;74,5;0,00;0,00;0,14;0,00;2,03;0,55;0,00;0;14,02
1600;82,0;42,4;8,5;5,041;307,33;160,75;2910;74,5;0,00;0,00;0,14;0,00;2,03;0,53;0,00;0;13,19
1681;82,0;42,4;8,5;5,126;311,48;163,75;2925;74,5;0,00;0,00;0,14;0,00;2,13;0,53;0,00;0;13,19
1761;82,0;42,4;7,7;5,805;347,68;183,75;2940;74,5;0,00;0,00;0,14;0,00;2,09;0,51;0,00;0;13,10
1840;82,0;42,4;8,5;5,564;332,42;177,75;2975;74,5;0,00;0,00;0,14;0,00;2,09;0,53;0,00;0;13,10
1920;82,0;42,4;8,5;5,762;343,87;184,75;2989;74,9;0,00;0,00;0,14;0,00;2,17;0,53;0,00;0;13,29
2000;82,0;42,4;8,5;5,906;350,90;190,75;3024;74,9;0,00;0,00;0,14;0,00;2,23;0,51;0,00;0;13,29
2080;82,0;41,6;7,7;6,274;373,03;203,75;3038;74,9;0,00;0,00;0,14;0,00;2,30;0,51;0,00;0;12,98
2159;82,0;41,6;8,1;6,622;391,94;216,75;3076;74,9;0,00;0,00;0,14;0,00;2,24;0,51;0,00;0;12,98
2240;82,0;41,6;8,9;6,792;401,69;223,75;3098;74,9;0,00;0,00;0,14;0,00;2,32;0,51;0,00;0;12,67
2319;82,0;41,6;10,7;7,439;437,46;246,75;3137;74,9;0,00;0,00;0,14;0,00;2,44;0,51;0,00;0;12,64
2400;82,0;41,6;11,1;7,289;429,07;244,75;3172;74,9;0,00;0,00;0,14;0,00;2,34;0,49;0,00;0;12,60
2480;82,0;41,6;10,3;8,539;499,69;287,75;3202;74,9;0,00;0,00;0,14;0,00;2,50;0,49;0,00;0;12,11
2562;82,0;40,9;11,1;7,732;453,40;264,75;3247;74,9;0,00;0,00;0,14;0,00;2,48;0,49;0,00;0;12,07
2642;82,0;40,9;10,7;7,941;465,78;272,75;3256;74,9;0,00;0,00;0,14;0,00;2,52;0,49;0,00;0;11,67
2720;82,0;40,9;10,7;8,272;483,25;287,75;3311;74,9;0,00;0,00;0,14;0,00;2,48;0,49;-0,75;0;11,77
2801;82,0;40,9;11,1;7,834;458,91;275,75;3341;74,9;0,00;0,00;0,14;0,00;2,40;0,49;-0,75;0;11,95
2881;82,0;40,9;11,5;8,143;477,31;288,75;3364;74,9;0,00;0,00;0,14;0,00;2,56;0,49;-0,75;0;11,82
2960;82,0;40,9;11,5;7,674;449,42;275,75;3412;74,9;0,00;0,00;0,14;0,00;2,52;0,49;-0,75;0;11,58
3039;82,0;40,1;11,5;8,085;473,75;293,75;3448;74,9;0,00;0,00;0,14;0,00;2,56;0,49;-0,75;0;11,45
3121;82,0;40,1;11,5;8,095;474,51;296,75;3477;74,9;0,00;0,00;0,14;0,00;2,52;0,47;-0,38;0;11,41
3201;82,0;40,1;11,1;8,213;481,80;304,75;3517;74,9;0,00;0,00;0,14;0,00;2,58;0,47;-0,38;0;11,35
3281;82,0;40,1;11,1;7,663;449,76;286,75;3545;74,9;0,00;0,00;0,14;0,00;2,52;0,47;-0,38;0;11,11
3361;82,0;40,1;11,1;7,796;457,81;293,75;3568;74,9;0,00;0,00;0,14;0,00;2,62;0,47;0,00;0;11,03
3441;82,0;40,1;10,7;7,893;463,24;301,75;3622;74,9;0,00;0,00;0,14;0,00;2,60;0,47;0,00;0;11,00
3519;82,0;40,1;11,1;7,551;441,96;288,75;3633;74,9;0,00;0,00;0,14;0,00;2,54;0,47;0,00;0;11,03
3601;82,0;39,4;11,1;8,074;472,14;312,75;3683;74,9;0,00;0,00;0,14;0,00;2,52;0,47;0,00;0;11,17
3680;82,0;39,4;10,7;8,085;472,73;315,75;3714;74,9;0,00;0,00;0,14;0,00;2,67;0,47;0,00;0;11,17
3760;82,0;39,4;10,7;7,919;462,47;309,75;3724;74,9;0,00;0,00;0,14;0,00;2,65;0,47;0,00;0;11,32
3841;82,0;39,4;10,3;8,640;510,29;346,75;3778;74,9;0,00;0,00;0,14;0,00;2,67;0,47;0,00;0;11,32
3920;82,0;39,4;10,3;8,475;497,15;340,75;3811;74,9;0,00;0,00;0,14;0,00;2,67;0,47;0,00;0;11,25
4001;82,0;39,4;10,3;8,581;506,65;348,75;3827;74,9;0,00;0,00;0,14;0,00;2,69;0,47;0,00;0;11,25
4080;82,0;38,7;10,3;8,304;486,21;339,75;3885;74,9;0,00;0,00;0,14;0,00;2,62;0,47;0,00;0;11,10
4161;82,0;38,7;10,3;7,716;446,88;314,75;3916;74,9;0,00;0,00;0,14;0,00;2,73;0,47;0,00;0;11,10
4240;82,0;38,7;10,0;8,021;466,29;330,75;3944;74,9;0,00;0,00;0,14;0,00;2,69;0,47;0,00;0;11,10
4318;82,0;38,7;10,0;8,661;512,24;363,75;3948;74,9;0,00;0,00;0,14;0,00;2,67;0,47;-0,75;0;11,10
4401;82,0;38,7;10,0;8,555;502,15;360,75;3994;74,9;0,00;0,00;0,14;0,00;2,79;0,47;-0,75;0;11,00
4481;82,0;38,7;9,6;8,336;486,38;352,75;4032;74,9;0,00;0,00;0,14;0,00;2,75;0,47;-0,75;0;11,00
4561;82,0;37,9;9,6;8,661;512,16;375,75;4079;74,9;0,00;0,00;0,14;0,00;2,79;0,47;-0,38;0;11,07
4640;82,0;37,9;9,2;8,330;486,21;360,75;4125;74,9;0,00;0,00;0,14;0,00;2,73;0,47;-0,38;0;11,07
4719;82,0;37,9;9,2;8,416;491,64;365,75;4136;74,9;0,00;0,00;0,14;0,00;2,79;0,49;-0,38;0;11,04
4799;82,0;37,9;9,2;8,293;483,67;363,75;4181;74,9;0,00;0,00;0,14;0,00;2,83;0,47;-0,38;0;11,04
4880;82,0;37,9;9,2;8,961;536,57;405,75;4204;74,9;0,00;0,00;0,14;0,00;2,79;0,49;-0,38;0;11,38
4961;82,0;37,9;9,2;8,800;521,48;398,75;4251;74,9;0,00;0,00;0,14;0,00;2,87;0,49;-0,38;0;11,38
5040;82,0;37,2;9,2;8,779;519,19;400,75;4291;74,9;0,00;0,00;0,14;0,00;2,91;0,49;-0,38;0;11,13
5120;82,0;37,2;9,2;9,025;537,08;418,75;4334;74,9;0,00;0,00;0,14;0,00;2,85;0,49;-0,38;0;11,13
5201;82,0;37,2;9,2;8,987;534,20;417,75;4347;74,9;0,00;0,00;0,14;0,00;2,89;0,49;-0,38;0;11,20
5280;82,0;37,2;8,9;9,553;568,45;450,75;4408;74,9;0,00;0,00;0,14;0,00;3,03;0,49;-0,38;0;11,20
5360;82,0;37,2;9,2;9,110;540,05;431,75;4444;74,9;0,00;0,00;0,14;0,00;2,91;0,49;0,00;0;11,17
5440;82,0;37,2;9,2;9,126;539,96;435,75;4486;74,9;0,00;0,00;0,14;0,00;2,93;0,49;-0,38;0;11,17
5520;82,0;37,2;9,2;9,398;555,48;451,75;4521;74,9;0,00;0,00;0,14;0,00;2,97;0,49;0,00;0;11,41
5600;82,0;36,4;9,2;9,308;549,12;450,75;4563;74,9;0,00;0,00;0,14;0,00;2,93;0,49;0,00;0;11,76
5681;82,0;36,4;9,2;9,681;571,08;471,75;4592;74,9;0,00;0,00;0,14;0,00;2,95;0,49;0,00;0;11,54
5760;82,0;36,4;9,2;10,002;590,49;493,75;4648;74,9;0,00;0,00;0,14;0,00;2,97;0,49;0,00;0;11,38
5840;82,0;36,4;9,2;9,900;584,64;490,75;4666;74,9;0,00;0,00;0,14;0,00;3,06;0,49;0,00;0;11,38
5920;82,0;36,4;8,9;9,996;593,21;502,75;4711;74,9;0,00;0,00;0,14;0,00;3,10;0,49;0,00;0;11,33
6000;82,0;36,4;9,2;9,377;555,90;473,75;4737;74,9;0,00;0,00;0,14;0,00;3,01;0,49;0,00;0;11,33
6080;82,0;36,4;9,2;9,799;581,93;500,75;4783;74,9;0,00;0,00;0,14;0,00;3,05;0,49;0,00;0;11,61
6159;82,0;36,4;9,2;9,756;581,51;502,75;4806;74,9;0,00;0,00;0,14;0,00;3,10;0,49;0,00;0;11,52
6240;82,0;36,4;9,2;10,611;636,02;555,75;4857;74,9;0,00;0,00;0,14;0,00;3,08;0,49;0,00;0;11,27
6321;82,0;36,4;8,9;9,607;575,40;509,75;4924;74,9;0,00;0,00;0,14;0,00;3,16;0,49;0,00;0;11,47
6402;82,0;36,4;9,2;9,500;569,64;505,75;4935;74,9;0,00;0,00;0,14;0,00;3,14;0,49;0,00;0;11,63
6480;82,0;36,4;9,2;9,740;584,13;519,75;4946;74,9;0,00;0,00;0,14;0,00;3,18;0,49;0,00;0;11,61
6561;82,0;36,4;9,2;9,441;568,96;512,75;5009;74,9;0,00;0,00;0,14;0,00;3,18;0,49;0,00;0;11,55
6641;82,0;36,4;9,2;10,397;628,22;568,75;5032;74,9;0,00;0,00;0,14;0,00;3,24;0,49;0,00;0;11,57
6720;82,0;36,4;9,2;10,023;604,65;553,75;5090;74,9;0,00;0,00;0,14;0,00;3,22;0,49;0,00;0;11,55
6800;82,0;36,4;9,2;10,322;626,44;578,75;5135;74,9;0,00;0,00;0,14;0,00;3,22;0,49;0,00;0;11,58
6880;82,0;36,4;8,9;10,333;627,03;581,75;5157;74,9;0,00;0,00;0,14;0,00;3,05;0,49;0,00;0;11,35
6959;82,0;36,4;9,2;10,167;616,10;573,75;5176;74,9;0,00;0,00;0,14;0,00;3,28;0,49;0,00;0;11,35
7040;82,0;36,4;9,2;9,340;566,58;535,75;5256;74,9;0,00;0,00;0,14;0,00;3,20;0,49;0,00;0;11,47
7118;82,0;36,4;9,2;10,488;639,33;608,75;5292;74,9;0,00;0,00;0,14;0,00;3,26;0,49;0,00;0;11,47
7201;82,0;36,4;9,2;10,498;639,83;608,75;5288;74,9;0,00;0,00;0,14;0,00;3,22;0,51;0,00;0;11,61
7281;82,0;36,4;9,2;10,029;609,06;589,75;5382;74,9;0,00;0,00;0,14;0,00;3,28;0,49;0,00;0;11,61
7358;82,0;36,4;9,2;9,527;578,45;560,75;5388;74,9;0,00;0,00;0,14;0,00;3,28;0,49;0,00;0;11,60
7440;82,0;36,4;9,2;10,205;619,91;601,75;5395;74,9;0,00;0,00;0,14;0,00;3,34;0,49;0,00;0;11,60
7520;82,0;36,4;9,2;9,922;602,79;591,75;5456;74,9;0,00;0,00;0,14;0,00;3,28;0,49;0,00;0;11,50
7601;82,0;36,4;9,2;10,146;616,52;608,75;5488;74,9;0,00;0,00;0,14;0,00;3,32;0,49;0,00;0;11,50
7680;82,0;36,4;9,2;10,333;629,07;625,75;5529;74,9;0,00;0,00;0,14;0,00;3,30;0,49;0,00;0;11,42
7760;82,0;36,4;9,2;10,002;608,21;609,75;5572;74,9;0,00;0,00;0,14;0,00;3,28;0,49;0,00;0;11,42
7841;82,0;36,4;8,9;10,434;636,44;643,75;5622;74,9;0,00;0,00;0,14;0,00;3,46;0,49;0,00;0;11,77
7920;82,0;36,4;8,9;9,868;600,67;612,75;5670;74,9;0,00;0,00;0,14;0,00;3,32;0,49;0,00;0;11,77
8002;82,0;36,4;8,9;9,751;593,29;605,75;5675;74,9;0,00;0,00;0,14;0,00;3,40;0,49;0,00;0;11,54
8081;82,0;36,4;8,9;10,397;631,87;654,75;5759;74,9;0,00;0,00;0,14;0,00;3,40;0,49;0,00;0;11,54
8162;82,0;36,4;8,9;10,445;635,17;655,75;5738;74,9;0,00;0,00;0,14;0,00;3,36;0,49;0,00;0;11,27
8240;82,0;36,4;8,9;10,675;652,30;681,75;5809;74,9;0,00;0,00;0,14;0,00;3,46;0,49;0,00;0;11,27
8321;82,0;36,4;8,5;9,868;598,72;625,75;5809;74,9;0,00;0,00;0,14;0,00;3,34;0,51;0,00;0;11,58
8401;82,0;36,4;8,9;10,675;670,10;708,75;5878;74,9;0,00;0,00;0,14;0,00;3,49;0,51;0,00;0;11,58
8479;82,0;36,4;8,1;10,263;623,30;666,75;5945;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,27
8560;82,0;36,4;8,1;10,274;624,15;668,75;5955;74,9;0,00;0,00;0,14;0,00;3,44;0,49;0,00;0;11,27
8640;82,0;36,4;8,5;9,804;595,66;633,75;5913;74,9;0,00;0,00;0,14;0,00;3,38;0,49;0,00;0;11,55
8721;82,0;36,4;8,1;9,959;605,16;650,75;5977;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,55
8801;82,0;36,4;8,9;10,675;653,06;704,75;5998;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,51
8880;82,0;36,4;8,1;10,007;606,01;664,75;6097;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,51
8961;82,0;36,4;7,7;10,290;623,22;683,75;6098;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,36
9039;82,0;37,2;8,1;10,205;618,05;685,75;6167;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,27
9120;82,0;37,2;8,1;10,712;660,69;727,75;6122;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,26
9200;81,2;37,2;8,5;10,712;652,47;727,75;6199;74,9;0,00;0,00;0,14;0,00;3,53;0,49;0,00;0;11,30
9279;81,2;37,2;8,1;10,472;634,66;711,75;6233;74,9;0,00;0,00;0,14;0,00;3,51;0,49;0,00;0;11,27
9360;81,2;37,2;8,5;10,712;659,84;739,75;6231;74,9;0,00;0,00;0,14;0,00;3,47;0,49;0,00;0;11,32
9440;81,2;37,2;8,1;10,322;625,51;708,75;6297;74,9;0,00;0,00;0,14;0,00;3,40;0,49;0,00;0;11,17
9522;81,2;37,2;8,5;10,712;675,53;770,75;6341;74,9;0,00;0,00;0,14;0,00;3,57;0,49;0,00;0;11,35
9601;81,2;37,2;8,1;9,980;605,33;686,75;6305;74,9;0,00;0,00;0,14;0,00;3,49;0,49;0,00;0;11,16
9679;81,2;37,2;8,1;10,333;626,86;719,75;6381;74,9;0,00;0,00;0,14;0,00;3,44;0,49;0,00;0;11,48
9761;81,2;37,2;8,1;10,002;606,52;704,75;6458;74,9;0,00;0,00;0,14;0,00;3,46;0,49;0,00;0;11,38
9846;81,2;37,2;8,1;10,280;623,13;720,75;6428;74,9;0,00;0,00;0,14;0,00;3,53;0,49;0,00;0;11,27
9931;81,2;37,2;8,1;9,938;603,04;700,75;6458;74,9;0,00;0,00;0,14;0,00;3,49;0,49;0,00;0;11,25
10010;81,2;37,2;8,1;10,418;630,08;738,75;6516;74,9;0,00;0,00;0,14;0,00;3,55;0,49;0,00;0;11,14
10089;81,2;37,9;8,1;10,087;611,94;711,75;6464;74,9;0,00;0,00;0,14;0,00;3,51;0,49;0,00;0;11,25
10170;81,2;37,9;-2,7;9,815;595,41;688,75;6429;74,9;0,00;0,00;0,14;0,00;3,46;0,49;0,00;0;11,17
10252;81,2;37,9;-12,8;10,194;616,44;723,75;6525;74,9;0,00;0,00;0,14;0,00;3,65;0,49;0,00;0;11,16
10331;81,2;37,9;-22,1;10,701;652,89;770,75;6561;74,9;0,00;0,00;0,14;0,00;3,53;0,49;0,00;0;11,22
10412;81,2;37,9;-22,1;7,481;447,64;528,75;6565;15,3;0,00;0,00;0,14;0,00;2,95;0,49;0,00;0;11,36
